accuracy,anchor,evaluation,evaluation_scope,nll_per_event,num_events,task,time_rmse
0.10244,E_1,frozen_anchor,persistent,3.60721,0,4,2.25658
0.1129,,pre_update,,3.66723,0,5,2.36708
0.20221,,scratch_pre,,8.38647,0,5,2.1749
0.36528,,post_update,,3.11317,0,5,1.993
0.37128,A_1,frozen_anchor,persistent,3.07199,0,5,2.09337
0.09782,B_1,frozen_anchor,persistent,3.72986,0,5,2.42771
0.11638,C_1,frozen_anchor,persistent,3.48456,0,5,2.06163
0.11786,B_prime_1,frozen_anchor,persistent,3.72522,0,5,2.46789
0.34024,A_2,frozen_anchor,persistent,3.17073,0,5,2.0018
0.30321,X_transient,frozen_anchor,diagnostic_only,3.16317,0,5,1.89009
0.35147,A_merge,frozen_anchor,persistent,3.0777,0,5,1.95376
0.10467,E_1,frozen_anchor,persistent,3.56789,0,5,2.06013
0.12665,,pre_update,,3.52913,0,6,2.03649
0.13643,,scratch_pre,,7.0886,0,6,1.90242
0.36675,,post_update,,2.91593,0,6,1.77133
0.23689,A_1,frozen_anchor,persistent,3.31299,0,6,2.14533
0.09926,B_1,frozen_anchor,persistent,3.6748,0,6,2.10925
0.37196,C_1,frozen_anchor,persistent,2.71937,0,6,1.76717
0.1028,B_prime_1,frozen_anchor,persistent,3.68487,0,6,2.15812
0.21142,A_2,frozen_anchor,persistent,3.38894,0,6,2.03432
0.23532,X_transient,frozen_anchor,diagnostic_only,3.28093,0,6,1.90369
0.22108,A_merge,frozen_anchor,persistent,3.30884,0,6,2.00194
0.09349,E_1,frozen_anchor,persistent,3.55452,0,6,1.96298
0.21195,,pre_update,,3.32033,0,7,1.99791
0.19287,,scratch_pre,,8.17597,0,7,2.14461
0.34405,,post_update,,3.11896,0,7,1.97543
0.36959,A_1,frozen_anchor,persistent,3.05243,0,7,2.08931
0.07073,B_1,frozen_anchor,persistent,3.81644,0,7,2.46596
0.10279,C_1,frozen_anchor,persistent,3.49106,0,7,2.10699
0.08248,B_prime_1,frozen_anchor,persistent,3.82211,0,7,2.50666
0.34074,A_2,frozen_anchor,persistent,3.16074,0,7,2.00243
0.30056,X_transient,frozen_anchor,diagnostic_only,3.15849,0,7,1.87025
0.34681,A_merge,frozen_anchor,persistent,3.06056,0,7,1.94853
0.10766,E_1,frozen_anchor,persistent,3.53429,0,7,2.01635
0.33156,,pre_update,,3.14614,0,8,2.03936
0.18468,,scratch_pre,,8.10379,0,8,2.19122
0.33446,,post_update,,3.1331,0,8,2.04201
0.3679,A_1,frozen_anchor,persistent,3.04039,0,8,2.08916
0.07456,B_1,frozen_anchor,persistent,3.81764,0,8,2.45313
0.10715,C_1,frozen_anchor,persistent,3.45003,0,8,2.09665
0.08726,B_prime_1,frozen_anchor,persistent,3.82395,0,8,2.50217
0.3415,A_2,frozen_anchor,persistent,3.15995,0,8,2.00218
0.29645,X_transient,frozen_anchor,diagnostic_only,3.16878,0,8,1.86879
0.34314,A_merge,frozen_anchor,persistent,3.04858,0,8,1.94774
0.10666,E_1,frozen_anchor,persistent,3.53682,0,8,2.00343
0.08603,,pre_update,,3.69867,0,9,2.25532
0.14868,,scratch_pre,,7.91,0,9,2.12296
0.30283,,post_update,,3.1599,0,9,1.97902
0.08291,A_1,frozen_anchor,persistent,3.47641,0,9,2.13941
0.24814,B_1,frozen_anchor,persistent,3.25476,0,9,2.02576
0.08229,C_1,frozen_anchor,persistent,3.31834,0,9,1.86191
0.26153,B_prime_1,frozen_anchor,persistent,3.23554,0,9,2.05532
0.08664,A_2,frozen_anchor,persistent,3.52501,0,9,2.04436
0.1022,X_transient,frozen_anchor,diagnostic_only,3.36932,0,9,1.84671
0.08676,A_merge,frozen_anchor,persistent,3.44158,0,9,1.99193
0.3267,E_1,frozen_anchor,persistent,3.00593,0,9,1.80841
