accuracy,cluster_id,events,local_time_mae,nll_per_event,source_index,variant
0.2875,9,80,5.1679677903652195,2.8978918296284975,999,frozen/no_episodic
0.1875,10,80,5.2171674340963365,2.9033771276474,1000,frozen/no_episodic
0.2375,10,80,6.753558099269867,3.22425013333559,1004,frozen/no_episodic
0.15,10,80,6.112101793289185,3.5136480761226268,1006,frozen/no_episodic
0.15,10,80,6.268206691741943,3.2537288666702806,1017,frozen/no_episodic
0.1375,10,80,5.274835169315338,2.509466931130737,1020,frozen/no_episodic
0.125,10,80,4.3040451288223265,2.574652862176299,1023,frozen/no_episodic
0.1375,10,80,3.75091712474823,2.849245237186551,1034,frozen/no_episodic
0.25,10,80,5.142224998679012,2.5399374149739744,1044,frozen/no_episodic
0.1875,10,80,5.053664124011993,2.867448884341866,1047,frozen/no_episodic
0.1,10,80,3.678127181529999,2.0597999983467163,1049,frozen/no_episodic
0.175,10,80,4.99992862790823,3.1415905525907872,1052,frozen/no_episodic
0.1875,10,80,4.663196378946305,2.436748641356826,1056,frozen/no_episodic
0.1375,10,80,4.968076336383819,2.8702877714298665,1061,frozen/no_episodic
0.1875,10,80,2.624223291873932,2.016499906219542,1065,frozen/no_episodic
0.25,10,80,4.656269830465317,2.3966185685480013,1069,frozen/no_episodic
0.1875,10,80,5.786577773094177,2.953854922950268,1080,frozen/no_episodic
0.175,10,80,4.868611776828766,2.8935576613526792,1086,frozen/no_episodic
0.2125,10,80,3.8646797202527523,2.5691730472259224,1092,frozen/no_episodic
0.15,10,80,4.867220687866211,2.651306521333754,1093,frozen/no_episodic
0.1875,10,80,3.589375078678131,2.159831056999974,1097,frozen/no_episodic
0.2,11,80,5.6912601590156555,3.466356987133622,1103,frozen/no_episodic
0.225,11,80,2.928969031572342,1.6990568766370415,1104,frozen/no_episodic
0.25,11,80,5.616821038722992,2.837815598025918,1106,frozen/no_episodic
0.225,11,80,6.510875356197357,3.357704301737249,1107,frozen/no_episodic
0.2125,11,80,6.929568791389466,3.167964517330984,1116,frozen/no_episodic
0.275,11,80,5.173292422294617,2.540946026192978,1121,frozen/no_episodic
0.2125,11,80,3.4457904607057572,2.1726393147371708,1127,frozen/no_episodic
0.1625,11,80,6.502637171745301,3.6512490631081165,1133,frozen/no_episodic
0.1875,11,80,8.444966977834701,4.234953003004193,1144,frozen/no_episodic
0.1875,11,80,8.478354966640472,3.5104694375768304,1146,frozen/no_episodic
0.225,11,80,4.533440953493118,2.5071437485981733,1158,frozen/no_episodic
0.2375,11,80,3.3815760731697084,2.0879048112779857,1161,frozen/no_episodic
0.2125,11,80,4.848320508003235,3.252337855193764,1164,frozen/no_episodic
0.1625,11,80,4.678221666812897,2.62721798857674,1166,frozen/no_episodic
0.175,11,80,4.884782528877258,2.567020001914352,1178,frozen/no_episodic
0.25,11,80,4.141613841056824,2.494247767329216,1187,frozen/no_episodic
0.1625,11,80,4.320919758081436,2.5075281745754183,1191,frozen/no_episodic
0.2125,11,80,2.7359703883528708,1.6851383663713932,1193,frozen/no_episodic
0.325,11,80,8.474375104904174,3.4865405242540874,1195,frozen/no_episodic
0.175,11,80,8.816510908305645,3.9721017744392157,1197,frozen/no_episodic
0.1875,12,80,7.292869889736176,3.821126367151737,1207,frozen/no_episodic
0.175,12,80,7.557109475135803,3.987829473614693,1211,frozen/no_episodic
0.2375,12,80,4.322745743393898,2.38299544993788,1217,frozen/no_episodic
0.2125,12,80,4.5058476567268375,2.621790838893503,1225,frozen/no_episodic
0.125,12,80,7.0007439136505125,3.618083751574159,1226,frozen/no_episodic
0.2,12,80,6.823092579841614,3.168615466495976,1228,frozen/no_episodic
0.1875,12,80,3.841550850868225,2.4603414314799013,1238,frozen/no_episodic
0.225,12,80,5.9104584261775015,3.1569524558261035,1242,frozen/no_episodic
0.2125,12,80,5.653688597679138,2.8053749352227895,1248,frozen/no_episodic
0.15,12,80,3.1349984765052796,2.259787568449974,1256,frozen/no_episodic
0.1375,12,80,7.18807881474495,3.6266666302923114,1257,frozen/no_episodic
0.175,12,80,4.764175534248352,3.0172937111463396,1261,frozen/no_episodic
0.1875,12,80,6.412328600883484,3.5367979088798167,1262,frozen/no_episodic
0.125,12,80,4.451968896389007,2.765513545414433,1263,frozen/no_episodic
0.175,12,80,5.5750362277030945,3.030785738490522,1270,frozen/no_episodic
0.15,12,80,2.2309317350387574,1.8125507408287376,1271,frozen/no_episodic
0.175,12,80,5.587085497379303,3.3222924219444394,1273,frozen/no_episodic
0.1625,12,80,3.7264947414398195,1.8917874163016677,1276,frozen/no_episodic
0.1375,12,80,8.346143341064453,3.6624304219149053,1291,frozen/no_episodic
0.1375,12,80,4.818216872215271,2.3858966326806694,1293,frozen/no_episodic
