checkpoint_task,checkpoint,eval_name,regime_id,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_X_transient,X_transient,frozen/full,frozen,full,3.0850067719544167,0.3016892695693552,1.0852927526292022
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_A_merge,A_merge,frozen/full,frozen,full,2.941170303978055,0.35834942084942084,1.1094149981686507
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_E_1,E_1,frozen/full,frozen,full,3.3432455711719515,0.10156632403328439,1.015394976368968
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_A_1,A_1,frozen/full,frozen,full,3.217827295468155,0.16067602951678173,1.1983283764122499
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_B_1,B_1,frozen/full,frozen,full,3.421193366292798,0.11003541912632822,1.1445088216518144
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_C_1,C_1,frozen/full,frozen,full,2.589826460233402,0.36116015132408574,0.9120238673341229
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_B_prime_1,B_prime_1,frozen/full,frozen,full,3.361754909413883,0.09700965387332235,1.1575060943898128
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_A_2,A_2,frozen/full,frozen,full,3.3309728218019825,0.14591101168282378,1.2074954710639652
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_X_transient,X_transient,frozen/full,frozen,full,3.229559917209434,0.1615512729003093,1.1031503706865584
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_A_merge,A_merge,frozen/full,frozen,full,3.2114981316231392,0.16361003861003862,1.1354166283110394
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_E_1,E_1,frozen/full,frozen,full,3.319923621208949,0.10768477728830152,1.0175031815098012
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_A_1,A_1,frozen/full,frozen,full,3.099386862192061,0.2651749583432516,1.1977427454682594
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_B_1,B_1,frozen/full,frozen,full,3.398813500342431,0.07721369539551358,1.1847643139511523
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_C_1,C_1,frozen/full,frozen,full,2.748803118288442,0.2907944514501892,0.9510231431766236
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_B_prime_1,B_prime_1,frozen/full,frozen,full,3.348843457082987,0.08570755827643042,1.1954357456200988
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_A_2,A_2,frozen/full,frozen,full,3.201831196541517,0.2453392990305742,1.1980091159449802
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_X_transient,X_transient,frozen/full,frozen,full,3.132652607640283,0.23221508446347847,1.0991488249563417
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_A_merge,A_merge,frozen/full,frozen,full,3.0853530743867736,0.26037644787644787,1.1334179515544052
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_E_1,E_1,frozen/full,frozen,full,3.228184088036177,0.18037200195790504,1.03170566120045
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_A_1,A_1,frozen/full,frozen,full,3.05011712582558,0.27564865508212333,1.1859155113258353
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_B_1,B_1,frozen/full,frozen,full,3.4215086089115077,0.07626918536009446,1.1883968655024397
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_C_1,C_1,frozen/full,frozen,full,2.7565309983935364,0.2907944514501892,0.9423869740316576
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_B_prime_1,B_prime_1,frozen/full,frozen,full,3.3665887586981205,0.08688485990110667,1.2006718968121282
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_A_2,A_2,frozen/full,frozen,full,3.1617950393938465,0.26224210787969177,1.189679366985779
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_X_transient,X_transient,frozen/full,frozen,full,3.1159244948502187,0.23364263621222936,1.09442926116878
