checkpoint_task,eval_task,eval_name,protocol,memory_view,variant,nll_per_event,accuracy,local_time_mae,events
0,,anchor_A_merge,online_write,full,online_write/full,3.012272941094237,0.3207046332046332,1.2966634219289401,4144
0,,anchor_E_1,online_write,full,online_write/full,3.4201723296214417,0.15051395007342144,1.2611104544503793,4086
1,1,task_01_test,frozen,full,frozen/full,3.2967866042564653,0.24760536398467434,1.2691465629928413,2088
1,2,task_02_test_pre,frozen,full,frozen/full,3.090546236101237,0.18962887646161666,0.9802461400150828,1967
1,,anchor_A_1,frozen,full,frozen/full,3.3751535104643984,0.15877172101880505,1.2312763175973436,4201
1,,anchor_B_1,frozen,full,frozen/full,3.1744516978438377,0.26587957497048403,1.1948528879789422,4235
1,,anchor_C_1,frozen,full,frozen/full,3.1013150266861405,0.18940731399747793,0.9976253841443441,3965
1,,anchor_B_prime_1,frozen,full,frozen/full,3.1556389765765265,0.2451141982575936,1.2017364398658992,4247
1,,anchor_A_2,frozen,full,frozen/full,3.466743717672456,0.11483967188665176,1.225388542799223,4023
1,,anchor_X_transient,frozen,full,frozen/full,3.387508965037761,0.12919343326195576,1.1227938198005192,4203
1,,anchor_A_merge,frozen,full,frozen/full,3.362078397890776,0.14937258687258687,1.1647203843105713,4144
1,,anchor_E_1,frozen,full,frozen/full,3.306435680716165,0.1343612334801762,1.0442173967627526,4086
1,1,task_01_test,fast_adapt,full,fast_adapt/full,3.296680443131604,0.24616858237547892,1.2690201317213505,2088
1,2,task_02_test_pre,fast_adapt,full,fast_adapt/full,3.0896949477164224,0.1916624300965938,0.9800810084224172,1967
1,,anchor_A_1,fast_adapt,full,fast_adapt/full,3.374465987785065,0.16019995239228754,1.2311929168374276,4201
1,,anchor_B_1,fast_adapt,full,fast_adapt/full,3.1743366426109847,0.2663518299881936,1.1947175702632107,4235
1,,anchor_C_1,fast_adapt,full,fast_adapt/full,3.100363805705933,0.19117276166456496,0.9974773007713982,3965
1,,anchor_B_prime_1,fast_adapt,full,fast_adapt/full,3.1554636028982315,0.2446432776077231,1.2016076338776762,4247
1,,anchor_A_2,fast_adapt,full,fast_adapt/full,3.4661181831786565,0.11483967188665176,1.2253357827767133,4023
1,,anchor_X_transient,fast_adapt,full,fast_adapt/full,3.386801502519127,0.12966928384487272,1.122721767130563,4203
1,,anchor_A_merge,fast_adapt,full,fast_adapt/full,3.3614248621878016,0.15033783783783783,1.16465281611704,4144
1,,anchor_E_1,fast_adapt,full,fast_adapt/full,3.305823308839205,0.13582966226138032,1.0441300685768669,4086
1,1,task_01_test,online_write,full,online_write/full,3.296680492773595,0.24616858237547892,1.3342298296462187,2088
1,2,task_02_test_pre,online_write,full,online_write/full,3.089694878354434,0.1916624300965938,1.058157751833841,1967
1,,anchor_A_1,online_write,full,online_write/full,3.374465954315092,0.16019995239228754,1.3133897980288474,4201
1,,anchor_B_1,online_write,full,online_write/full,3.174336681283632,0.2663518299881936,1.2745868171188088,4235
1,,anchor_C_1,online_write,full,online_write/full,3.100363843971664,0.19117276166456496,1.0679981005447359,3965
1,,anchor_B_prime_1,online_write,full,online_write/full,3.155463604982359,0.2446432776077231,1.2685523107450536,4247
1,,anchor_A_2,online_write,full,online_write/full,3.4661182129883867,0.11483967188665176,1.3089674832269256,4023
1,,anchor_X_transient,online_write,full,online_write/full,3.3868015127297726,0.12966928384487272,1.195447610165479,4203
1,,anchor_A_merge,online_write,full,online_write/full,3.3614248020509727,0.15033783783783783,1.2398816475206016,4144
1,,anchor_E_1,online_write,full,online_write/full,3.3058234293905473,0.13582966226138032,1.119106344936112,4086
2,2,task_02_test,frozen,full,frozen/full,2.5545505704040994,0.39501779359430605,0.8922748061443381,1967
2,3,task_03_test_pre,frozen,full,frozen/full,3.4432893713239925,0.08918406072106262,1.2045812172500638,2108
2,,anchor_A_1,frozen,full,frozen/full,3.414830626206465,0.09950011901928113,1.193074874723562,4201
2,,anchor_B_1,frozen,full,frozen/full,3.4809609693506953,0.08689492325855962,1.1724774456361953,4235
2,,anchor_C_1,frozen,full,frozen/full,2.545875609928242,0.3944514501891551,0.9064736458873388,3965
2,,anchor_B_prime_1,frozen,full,frozen/full,3.4357373206397073,0.08029197080291971,1.1880876394280384,4247
2,,anchor_A_2,frozen,full,frozen/full,3.5113621578268703,0.09346259010688542,1.2108308299987018,4023
2,,anchor_X_transient,frozen,full,frozen/full,3.441483455188723,0.07566024268379729,1.1040079687256035,4203
2,,anchor_A_merge,frozen,full,frozen/full,3.4076690489721115,0.09121621621621621,1.1318996026249006,4144
2,,anchor_E_1,frozen,full,frozen/full,3.407292314212928,0.09006363191385218,1.0027479609612209,4086
2,2,task_02_test,fast_adapt,full,fast_adapt/full,2.5546610783245822,0.3940010167768175,0.8922549394647301,1967
2,3,task_03_test_pre,fast_adapt,full,fast_adapt/full,3.442604832223968,0.08918406072106262,1.2045688991076127,2108
2,,anchor_A_1,fast_adapt,full,fast_adapt/full,3.4139821834151047,0.09973815758152821,1.1930440027808553,4201
2,,anchor_B_1,fast_adapt,full,fast_adapt/full,3.4806263064549974,0.08736717827626919,1.1724850426035478,4235
2,,anchor_C_1,fast_adapt,full,fast_adapt/full,2.5459647478101233,0.39394703656998736,0.9064568265840355,3965
2,,anchor_B_prime_1,fast_adapt,full,fast_adapt/full,3.435361536581544,0.08052743112785496,1.188092306077354,4247
2,,anchor_A_2,fast_adapt,full,fast_adapt/full,3.510615529689272,0.09371116082525478,1.2107957692517293,4023
2,,anchor_X_transient,fast_adapt,full,fast_adapt/full,3.440576423102267,0.07566024268379729,1.103961242995261,4203
2,,anchor_A_merge,fast_adapt,full,fast_adapt/full,3.406841837761485,0.09145752895752896,1.131874183890442,4144
2,,anchor_E_1,fast_adapt,full,fast_adapt/full,3.4064439203128822,0.09055310817425355,1.0027403511723292,4086
2,2,task_02_test,online_write,full,online_write/full,2.554661070985741,0.3940010167768175,0.9645080804203632,1967
2,3,task_03_test_pre,online_write,full,online_write/full,3.4426047929529053,0.08918406072106262,1.2664397749441796,2108
2,,anchor_A_1,online_write,full,online_write/full,3.413982208622223,0.09973815758152821,1.276422690051029,4201
2,,anchor_B_1,online_write,full,online_write/full,3.480626310902475,0.08736717827626919,1.2721330263466082,4235
2,,anchor_C_1,online_write,full,online_write/full,2.5459647420399163,0.39394703656998736,0.9697696995915561,3965
2,,anchor_B_prime_1,online_write,full,online_write/full,3.435361570250379,0.08052743112785496,1.2782037030433575,4247
2,,anchor_A_2,online_write,full,online_write/full,3.510615566091183,0.09371116082525478,1.3133916207840386,4023
2,,anchor_X_transient,online_write,full,online_write/full,3.440576419172232,0.07566024268379729,1.183299112860592,4203
2,,anchor_A_merge,online_write,full,online_write/full,3.4068419337883937,0.09145752895752896,1.2043440813939428,4144
2,,anchor_E_1,online_write,full,online_write/full,3.4064439361212058,0.09055310817425355,1.0832743243730527,4086
3,3,task_03_test,frozen,full,frozen/full,3.02089878639641,0.32685009487666034,1.1653985633343402,2108
3,4,task_04_test_pre,frozen,full,frozen/full,3.4568684693897334,0.07245657568238213,1.2569610122415622,2015
3,,anchor_A_1,frozen,full,frozen/full,2.974096974257315,0.3234944060937872,1.1645560193078854,4201
3,,anchor_B_1,frozen,full,frozen/full,3.5896391597238875,0.06965761511216056,1.302731502492425,4235
3,,anchor_C_1,frozen,full,frozen/full,2.947077555133295,0.27187894073139973,0.960114509130336,3965
3,,anchor_B_prime_1,frozen,full,frozen/full,3.540252976566869,0.08288203437720744,1.31427784563374,4247
3,,anchor_A_2,frozen,full,frozen/full,3.1002331116648123,0.307979120059657,1.172539850387175,4023
3,,anchor_X_transient,frozen,full,frozen/full,3.1157319030108237,0.24601475136807044,1.0844383502953852,4203
3,,anchor_A_merge,frozen,full,frozen/full,2.9657783710818495,0.32215250965250963,1.1068498508350268,4144
3,,anchor_E_1,frozen,full,frozen/full,3.3068325847489426,0.14757709251101322,1.022923891531505,4086
3,3,task_03_test,fast_adapt,full,fast_adapt/full,3.0210637955783213,0.3277988614800759,1.1653867916997516,2108
3,4,task_04_test_pre,fast_adapt,full,fast_adapt/full,3.4563497538602084,0.07295285359801489,1.2568497309909565,2015
3,,anchor_A_1,fast_adapt,full,fast_adapt/full,2.9742264324243624,0.3208759819090693,1.164523929449752,4201
3,,anchor_B_1,fast_adapt,full,fast_adapt/full,3.5891780704646914,0.069185360094451,1.30263336794154,4235
3,,anchor_C_1,fast_adapt,full,fast_adapt/full,2.9464575537817477,0.2716267339218159,0.960022899632496,3965
3,,anchor_B_prime_1,fast_adapt,full,fast_adapt/full,3.5397916667624756,0.08288203437720744,1.3141776799650398,4247
3,,anchor_A_2,fast_adapt,full,fast_adapt/full,3.1003180059840245,0.30648769574944074,1.1725236673186794,4023
3,,anchor_X_transient,fast_adapt,full,fast_adapt/full,3.1155559023363146,0.24434927432786105,1.084405258726909,4203
3,,anchor_A_merge,fast_adapt,full,fast_adapt/full,2.965888770850929,0.3219111969111969,1.1068279982533695,4144
3,,anchor_E_1,fast_adapt,full,fast_adapt/full,3.306110365275244,0.14855604503181596,1.0228144733916296,4086
3,3,task_03_test,online_write,full,online_write/full,3.0210637580656376,0.3277988614800759,1.2590812091024541,2108
3,4,task_04_test_pre,online_write,full,online_write/full,3.4563497279772983,0.07295285359801489,1.37253278361162,2015
3,,anchor_A_1,online_write,full,online_write/full,2.9742264581422555,0.3208759819090693,1.2743083982061354,4201
3,,anchor_B_1,online_write,full,online_write/full,3.589178065637208,0.069185360094451,1.4370447720164585,4235
3,,anchor_C_1,online_write,full,online_write/full,2.9464576037194283,0.2716267339218159,1.057267109217289,3965
3,,anchor_B_prime_1,online_write,full,online_write/full,3.5397917197849265,0.08288203437720744,1.4331303969572082,4247
3,,anchor_A_2,online_write,full,online_write/full,3.100318013373489,0.30648769574944074,1.2996658219671349,4023
3,,anchor_X_transient,online_write,full,online_write/full,3.115555896219677,0.24434927432786105,1.1879034723993236,4203
3,,anchor_A_merge,online_write,full,online_write/full,2.965888778080478,0.3219111969111969,1.203326061720381,4144
3,,anchor_E_1,online_write,full,online_write/full,3.306110398261295,0.14855604503181596,1.1371556472496416,4086
4,4,task_04_test,frozen,full,frozen/full,2.9108338613959757,0.2665012406947891,1.078129639164094,2015
4,5,task_05_test_pre,frozen,full,frozen/full,3.2962020836347414,0.2582716049382716,1.2444038108543114,2025
4,,anchor_A_1,frozen,full,frozen/full,3.259489584752305,0.27755296358009995,1.2637048225066856,4201
4,,anchor_B_1,frozen,full,frozen/full,3.0896753250356266,0.25478158205430934,1.1365809169260361,4235
