checkpoint_task,checkpoint,eval_name,regime_id,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,2.9168299729105502,0.22395964691046658,0.9245212239846305
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.169483634817592,0.23263480103602543,1.188454433303736
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.1223648681944054,0.31419338801889135,1.1799181362837665
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.1026178687179824,0.2602902688555793,1.084605198600818
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.0001580577099185,0.319980694980695,1.1135186256128848
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.2251442915309134,0.12971120900636318,1.0020078219331134
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.410579418971464,0.09711973339681028,1.1895509623141836
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.57646579855026,0.09090909090909091,1.172494169503204
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,2.536399500727804,0.3974779319041614,0.9111373110046002
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.524388707832137,0.08076289145279021,1.1858544409176812
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.4953860425842422,0.09445687298036291,1.2032475202438577
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.3692275489082855,0.11563169164882227,1.0939731348306827
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.40240444639935,0.0916988416988417,1.1264571738519265
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.4106708028067927,0.08737151248164464,1.009779418500918
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.0504865258173046,0.2937395858129017,1.1863475319204715
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.4580405026990944,0.09445100354191263,1.2162240822171657
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,2.745878335536654,0.289281210592686,0.951874641812915
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.3985284563230294,0.10218978102189781,1.2272985901640587
