checkpoint_task,evaluation_scope,first_seen_task,nise_mean,nise_median,regime_id,sequence_count,variant
6,seen_law,0,0.5080652767590474,0.501470955177167,A_1,64,frozen/full
6,seen_law,5,0.5278620187186116,0.5165022601728487,A_2,64,frozen/full
6,ood_unseen,7,0.5149554889074779,0.511803034789103,A_merge,64,frozen/full
6,seen_law,1,0.6692056612329518,0.6691525045167739,B_1,64,frozen/full
6,seen_law,4,0.6553025981490985,0.6500902752218991,B_prime_1,64,frozen/full
6,seen_law,2,0.10039872047178974,0.09766572026450443,C_1,64,frozen/full
6,ood_unseen,9,0.7252803805799408,0.7281286481130506,E_1,64,frozen/full
6,ood_unseen,6,0.528838832738887,0.5265472062790657,X_transient,64,frozen/full
7,seen_law,0,0.3086270695452858,0.30708743505001795,A_1,64,frozen/full
7,seen_law,5,0.2931841035252545,0.2946137476829477,A_2,64,frozen/full
7,seen_law,7,0.30293081341310396,0.3016739939495616,A_merge,64,frozen/full
7,seen_law,1,0.558569837625024,0.558996427104922,B_1,64,frozen/full
7,seen_law,4,0.571565924533049,0.5698970737850313,B_prime_1,64,frozen/full
7,seen_law,2,0.35356770100849444,0.35287399948262044,C_1,64,frozen/full
7,ood_unseen,9,0.5874868886490939,0.5847317696141698,E_1,64,frozen/full
7,ood_unseen,6,0.332797481813133,0.32719244031534267,X_transient,64,frozen/full
8,seen_law,0,0.22503296013259266,0.21875804513141592,A_1,64,frozen/full
8,seen_law,5,0.2165637736981944,0.21584220849032051,A_2,64,frozen/full
8,seen_law,7,0.22020020713526914,0.219758976122792,A_merge,64,frozen/full
8,seen_law,1,0.582435961746139,0.5803906732984324,B_1,64,frozen/full
8,seen_law,4,0.5967988267371709,0.5949445933403283,B_prime_1,64,frozen/full
8,seen_law,2,0.3605201626673052,0.3610288872674624,C_1,64,frozen/full
8,ood_unseen,9,0.5967697700566945,0.5950628711319683,E_1,64,frozen/full
8,ood_unseen,6,0.28818438320884215,0.27734067985728983,X_transient,64,frozen/full
9,seen_law,0,0.3624277804666338,0.352915793296968,A_1,64,frozen/full
9,seen_law,5,0.37376534793997407,0.37943166794907135,A_2,64,frozen/full
9,seen_law,7,0.3579029160567671,0.35630214075095984,A_merge,64,frozen/full
9,seen_law,1,0.39896589808197486,0.3849052752913929,B_1,64,frozen/full
9,seen_law,4,0.4167121360526882,0.40771238763778783,B_prime_1,64,frozen/full
9,seen_law,2,0.4375621474366663,0.4384474373721817,C_1,64,frozen/full
9,seen_law,9,0.27670232869011724,0.2816207093516315,E_1,64,frozen/full
9,ood_unseen,6,0.36262622821710483,0.34928789659814663,X_transient,64,frozen/full
