anchor_index,checkpoint,checkpoint_task,evaluation_scope,events,first_seen_task,nise,nise_type_0,nise_type_1,nise_type_2,nise_type_3,nise_type_4,nise_type_5,nise_type_6,nise_type_7,plot_path,regime_id,variant
26,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,56,4,0.616601992671526,2.518113599805886,2.7156997089286947,0.19773888496114403,0.3397624470475004,0.534179118118096,0.5290954015405974,0.683569770023995,0.21268292235030045,,B_prime_1,frozen/full
27,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,54,4,0.6256139054642925,2.725274254542606,2.722029577375156,0.23445122300649182,0.2737832895778514,0.573368780797147,0.5273903016733902,0.7155009970399737,0.2341017566467998,,B_prime_1,frozen/full
28,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,68,4,0.5917318631457221,1.3368879444147899,1.4231817072793231,0.22795694563476446,0.6420203127642888,0.5568311901078398,0.49072746318441224,0.6990943309580213,0.17231532568511754,,B_prime_1,frozen/full
29,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,75,4,0.5790444149552677,1.8366163009370604,1.7770568740174701,0.2972070232368787,0.657700069731907,0.4603908464690211,0.5161649346100353,0.6340451337023371,0.18429909656626028,,B_prime_1,frozen/full
30,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,71,4,0.6812652804345104,4.325302973989145,4.827592065375336,0.32530755575118714,0.7634301424391639,0.5903872237914493,0.4477956557306736,0.6913531976245879,0.2543120048681774,,B_prime_1,frozen/full
31,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,68,4,0.6151286540135076,2.4133695543380576,2.990756420287664,0.336751375386978,0.6400626399246875,0.47110005013472855,0.40864492886998877,0.5779153430335316,0.3381497219276981,,B_prime_1,frozen/full
32,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,55,4,0.5750782750358785,1.4906199998187455,1.3100026141545946,0.35105201766618044,0.8004089757612618,0.500880138024319,0.5599105615010385,0.5313004428103367,0.2998640850366184,,B_prime_1,frozen/full
33,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,77,4,0.6108276525952895,21.296866431668963,21.059669088174743,0.4206044725145821,0.9498467739613645,0.5479582804901867,0.4650750066463313,0.7077249464969415,0.477978579313308,,B_prime_1,frozen/full
34,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,78,4,0.5839063476576662,2.1971144911386955,2.046692185570755,0.20660783215808864,0.6561401825166604,0.464854896206868,0.5427802477832389,0.615218002093293,0.24840896554575814,,B_prime_1,frozen/full
35,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,74,4,0.5714936033086185,1.3379795272573287,1.4826598375886966,0.25117070402099756,0.7239446195436409,0.555287279247862,0.49322211807992966,0.6159936560862789,0.22251369815815092,,B_prime_1,frozen/full
36,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,77,4,0.6331643166509019,2.4959375629065694,2.3753787205451684,0.26675989774088504,0.7813336178939552,0.47538994063293954,0.5890819561788849,0.6570777906162405,0.20761471518740807,,B_prime_1,frozen/full
37,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,74,4,0.6401585001668583,1.8953615722059787,1.9192408460535322,0.24960418682866958,0.396669384566846,0.5120603684177085,0.5537769481992002,0.6613118622773905,0.13138143552651646,,B_prime_1,frozen/full
38,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,59,4,0.6182522708953238,2.1263161679524383,2.2585656437821044,0.15474346393573649,0.6106645997858379,0.5428949736825325,0.5337223349032797,0.6936157006353855,0.21434703227075802,,B_prime_1,frozen/full
39,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,51,4,0.6478088893001518,3.0552539967444066,2.9418589451234,0.29281349832417397,0.551810318709878,0.49085128481421064,0.5032379647133193,0.7440209200221751,0.1307451063864169,,B_prime_1,frozen/full
40,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,72,4,0.6185353040778143,3.1670069841628563,3.1107322157142026,0.2334709938664303,0.597108758053616,0.4404602660753497,0.5454010773711906,0.6207648252220251,0.21565872960592936,,B_prime_1,frozen/full
41,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,75,4,0.578381848175273,1.4869841056583606,1.4582670339938375,0.3394783352085892,0.718016564534807,0.48902377596568014,0.514046143792744,0.5688398863733362,0.2186208771403693,,B_prime_1,frozen/full
42,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,79,4,0.6111226371119669,1.675567956992381,1.9503796984171125,0.18342458938088607,0.32739035350266876,0.5525270399560631,0.5611481885203419,0.6236525923353685,0.2649494076602187,,B_prime_1,frozen/full
43,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,50,4,0.6159866128980246,2.602346046476681,2.893194981242939,0.24590562152177423,0.44186105671100145,0.579006809976419,0.4374819856261617,0.6490380056658289,0.31298597739924344,,B_prime_1,frozen/full
44,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,77,4,0.5882886506195726,1.4301246412990356,1.7234549624871234,0.31272821311893545,0.5934527892844353,0.5418734308930362,0.4473968046161945,0.6880258650034712,0.1574972558033291,,B_prime_1,frozen/full
45,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,50,4,0.5901799283930398,3.1923392537375785,3.131238820368773,0.1873745687134387,0.5953583094424499,0.5345875395637486,0.47416298415009134,0.6644235460435994,0.3930722482348091,,B_prime_1,frozen/full
46,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,73,4,0.5527075116802733,3.6080289631400166,2.929726225280334,0.3183617740687678,0.5882108208009756,0.4085182676841035,0.49111726270852263,0.5752869786729473,0.3564255898162601,,B_prime_1,frozen/full
47,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,71,4,0.6346257676253874,10.356094065023276,8.49115218917963,0.23229911025369437,0.7400341138310602,0.4617540566675132,0.5793085875580167,0.6852252953482406,0.3401437205021404,,B_prime_1,frozen/full
48,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,62,4,0.5835673751563909,7.542516303245506,6.548931293379852,0.728707073290031,0.8937587246885172,0.4729643213243531,0.4963561059825889,0.6701984588705231,0.3692444467260294,,B_prime_1,frozen/full
