checkpoint_task,evaluation_scope,first_seen_task,nise_mean,nise_median,regime_id,sequence_count,variant
4,seen_law,2,0.30587161226226195,0.30587786942288786,C_1,64,frozen/full
4,ood_unseen,9,0.5681444482986711,0.56535354374157,E_1,64,frozen/full
4,ood_unseen,6,0.42890646218819883,0.42052577711368133,X_transient,64,frozen/full
5,seen_law,0,0.028837277951027664,0.027587810697438236,A_1,64,frozen/full
5,seen_law,5,0.02461762625262997,0.023869173879319132,A_2,64,frozen/full
5,ood_unseen,7,0.025536854316318754,0.025721717961060285,A_merge,64,frozen/full
5,seen_law,1,0.6073715981926512,0.5919844551715014,B_1,64,frozen/full
5,seen_law,4,0.6391527034683908,0.6165103568825085,B_prime_1,64,frozen/full
5,seen_law,2,0.7231872616397446,0.7263766026839211,C_1,64,frozen/full
5,ood_unseen,9,0.7844639066081397,0.7920065077881921,E_1,64,frozen/full
5,ood_unseen,6,0.22690597263450518,0.200769789432532,X_transient,64,frozen/full
6,seen_law,0,0.637755680886112,0.6411875954834766,A_1,64,frozen/full
6,seen_law,5,0.6521563459475832,0.6512148634790715,A_2,64,frozen/full
6,ood_unseen,7,0.6489433681113458,0.6493384936166076,A_merge,64,frozen/full
6,seen_law,1,0.677694231142776,0.682094221186688,B_1,64,frozen/full
6,seen_law,4,0.670069190221527,0.6695725299969141,B_prime_1,64,frozen/full
6,seen_law,2,0.06516497842244288,0.0636186166108684,C_1,64,frozen/full
6,ood_unseen,9,0.783116585636932,0.784208077119508,E_1,64,frozen/full
6,ood_unseen,6,0.6428707096575393,0.6518063471288751,X_transient,64,frozen/full
7,seen_law,0,0.037667094276444206,0.03622747738964391,A_1,64,frozen/full
7,seen_law,5,0.04016238499329304,0.039807452210654695,A_2,64,frozen/full
7,seen_law,7,0.037464029861675026,0.03782235504125738,A_merge,64,frozen/full
7,seen_law,1,0.678732110745992,0.6722309205483197,B_1,64,frozen/full
7,seen_law,4,0.7096543113987195,0.68980478642311,B_prime_1,64,frozen/full
7,seen_law,2,0.61151706259743,0.6067852661564668,C_1,64,frozen/full
7,ood_unseen,9,0.7796538201913353,0.7783160873739139,E_1,64,frozen/full
7,ood_unseen,6,0.2306038721680345,0.20586933906981775,X_transient,64,frozen/full
8,seen_law,0,0.009391536543842706,0.00909416456482854,A_1,64,frozen/full
8,seen_law,5,0.026431561224438384,0.026072616006628926,A_2,64,frozen/full
8,seen_law,7,0.013741811516546742,0.013646424782309189,A_merge,64,frozen/full
8,seen_law,1,0.779346728474933,0.7579405350777613,B_1,64,frozen/full
8,seen_law,4,0.8166066932420158,0.7950193149135465,B_prime_1,64,frozen/full
8,seen_law,2,0.8629590968046387,0.8649710787413306,C_1,64,frozen/full
8,ood_unseen,9,0.9536995620995548,0.9708583367099095,E_1,64,frozen/full
8,ood_unseen,6,0.30536589931433084,0.27057383875853813,X_transient,64,frozen/full
9,seen_law,0,0.8640129769325698,0.8733463332830583,A_1,64,frozen/full
9,seen_law,5,0.8623419520379215,0.885912676635439,A_2,64,frozen/full
9,seen_law,7,0.8787881740835107,0.8911947275765303,A_merge,64,frozen/full
9,seen_law,1,0.5061415468972814,0.490037785980423,B_1,64,frozen/full
9,seen_law,4,0.5414618497209525,0.5278252915049677,B_prime_1,64,frozen/full
9,seen_law,2,0.8192062133751922,0.8125363740541052,C_1,64,frozen/full
9,seen_law,9,0.07830157362060029,0.07628201975243858,E_1,64,frozen/full
9,ood_unseen,6,0.8094995786174545,0.7999940126265874,X_transient,64,frozen/full
